
{ platform:iOS Simulator, arch:arm64, id:96BFD719-F016-407E-91FE-4071DD198016, OS:26.2, name:iPhone 16e }
{ platform:iOS Simulator, arch:x86_64, id:96BFD719-F016-407E-91FE-4071DD198016, OS:26.2, name:iPhone 16e }
{ platform:iOS Simulator, arch:arm64, id:D702A391-895C-4CE7-8917-16964F7D65AB, OS:26.0.1, name:iPhone 17 }
{ platform:iOS Simulator, arch:x86_64, id:D702A391-895C-4CE7-8917-16964F7D65AB, OS:26.0.1, name:iPhone 17 }
{ platform:iOS Simulator, arch:arm64, id:7834B4B1-0C33-4D96-AD87-40A0B231F149, OS:26.1, name:iPhone 17 }
{ platform:iOS Simulator, arch:x86_64, id:7834B4B1-0C33-4D96-AD87-40A0B231F149, OS:26.1, name:iPhone 17 }
{ platform:iOS Simulator, arch:arm64, id:61AE1FC1-A43D-439B-92B0-FAB4CE70C7CE, OS:26.2, name:iPhone 17 }
{ platform:iOS Simulator, arch:x86_64, id:61AE1FC1-A43D-439B-92B0-FAB4CE70C7CE, OS:26.2, name:iPhone 17 }
{ platform:iOS Simulator, arch:arm64, id:4F6BE3D2-E659-4A8A-B9BA-1FADDCFAF8EA, OS:26.0.1, name:iPhone 17 Pro }
{ platform:iOS Simulator, arch:x86_64, id:4F6BE3D2-E659-4A8A-B9BA-1FADDCFAF8EA, OS:26.0.1, name:iPhone 17 Pro }
{ platform:iOS Simulator, arch:arm64, id:3EAB9E92-60DF-4FEE-A2D7-A4A95245B4E2, OS:26.1, name:iPhone 17 Pro }
{ platform:iOS Simulator, arch:x86_64, id:3EAB9E92-60DF-4FEE-A2D7-A4A95245B4E2, OS:26.1, name:iPhone 17 Pro }
{ platform:iOS Simulator, arch:arm64, id:3AC7382D-C1C1-42B7-A219-AA9F9CD59202, OS:26.2, name:iPhone 17 Pro }
{ platform:iOS Simulator, arch:x86_64, id:3AC7382D-C1C1-42B7-A219-AA9F9CD59202, OS:26.2, name:iPhone 17 Pro }
{ platform:iOS Simulator, arch:arm64, id:BB5CBB6B-D4AA-4EDD-A41C-C95B3CFA9A9E, OS:26.0.1, name:iPhone 17 Pro Max }
{ platform:iOS Simulator, arch:x86_64, id:BB5CBB6B-D4AA-4EDD-A41C-C95B3CFA9A9E, OS:26.0.1, name:iPhone 17 Pro Max }
{ platform:iOS Simulator, arch:arm64, id:5C383ED6-E33C-4BF9-B560-6E4D111CFAAD, OS:26.1, name:iPhone 17 Pro Max }
{ platform:iOS Simulator, arch:x86_64, id:5C383ED6-E33C-4BF9-B560-6E4D111CFAAD, OS:26.1, name:iPhone 17 Pro Max }
{ platform:iOS Simulator, arch:arm64, id:74004FCE-E804-4788-ADCE-FA25DBD79723, OS:26.2, name:iPhone 17 Pro Max }
{ platform:iOS Simulator, arch:x86_64, id:74004FCE-E804-4788-ADCE-FA25DBD79723, OS:26.2, name:iPhone 17 Pro Max }
{ platform:iOS Simulator, arch:arm64, id:112E13E3-F2D4-4ADD-B2C9-C08372815839, OS:26.0.1, name:iPhone Air }
